,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Subject:L_Asis,Subject:L_Asis,Subject:L_Asis,Subject:L_Bar1,Subject:L_Bar1,Subject:L_Bar1,Subject:L_Bar2,Subject:L_Bar2,Subject:L_Bar2,Subject:L_Heel,Subject:L_Heel,Subject:L_Heel,Subject:L_Knee1,Subject:L_Knee1,Subject:L_Knee1,Subject:L_Mall,Subject:L_Mall,Subject:L_Mall,Subject:L_Met,Subject:L_Met,Subject:L_Met,Subject:R_Asis,Subject:R_Asis,Subject:R_Asis,Subject:R_Bar1,Subject:R_Bar1,Subject:R_Bar1,Subject:R_Bar2,Subject:R_Bar2,Subject:R_Bar2,Subject:R_Heel,Subject:R_Heel,Subject:R_Heel,Subject:R_Knee1,Subject:R_Knee1,Subject:R_Knee1,Subject:R_Mall,Subject:R_Mall,Subject:R_Mall,Subject:R_Met,Subject:R_Met,Subject:R_Met,Subject:Sacrum,Subject:Sacrum,Subject:Sacrum
,ID,"8B1EA9C3115F11EA18CB19F91684FC85","8B1EA9C3115F11EA18CB19F91684FC85","8B1EA9C3115F11EA18CB19F91684FC85","8B1EA9C4115F11EA18CB19F91684FC85","8B1EA9C4115F11EA18CB19F91684FC85","8B1EA9C4115F11EA18CB19F91684FC85","8B1EA9C6115F11EA18CB19F91684FC85","8B1EA9C6115F11EA18CB19F91684FC85","8B1EA9C6115F11EA18CB19F91684FC85","917FFD62115F11EA18CB19F91684FC85","917FFD62115F11EA18CB19F91684FC85","917FFD62115F11EA18CB19F91684FC85","8B1EA9C5115F11EA18CB19F91684FC85","8B1EA9C5115F11EA18CB19F91684FC85","8B1EA9C5115F11EA18CB19F91684FC85","917FFD61115F11EA18CB19F91684FC85","917FFD61115F11EA18CB19F91684FC85","917FFD61115F11EA18CB19F91684FC85","917FFD63115F11EA18CB19F91684FC85","917FFD63115F11EA18CB19F91684FC85","917FFD63115F11EA18CB19F91684FC85","917FFD64115F11EA18CB19F91684FC85","917FFD64115F11EA18CB19F91684FC85","917FFD64115F11EA18CB19F91684FC85","917FFD65115F11EA18CB19F91684FC85","917FFD65115F11EA18CB19F91684FC85","917FFD65115F11EA18CB19F91684FC85","9B6B958A115F11EA18CB19F91684FC85","9B6B958A115F11EA18CB19F91684FC85","9B6B958A115F11EA18CB19F91684FC85","9B6B958C115F11EA18CB19F91684FC85","9B6B958C115F11EA18CB19F91684FC85","9B6B958C115F11EA18CB19F91684FC85","917FFD66115F11EA18CB19F91684FC85","917FFD66115F11EA18CB19F91684FC85","917FFD66115F11EA18CB19F91684FC85","9B6B958B115F11EA18CB19F91684FC85","9B6B958B115F11EA18CB19F91684FC85","9B6B958B115F11EA18CB19F91684FC85","9B6B958D115F11EA18CB19F91684FC85","9B6B958D115F11EA18CB19F91684FC85","9B6B958D115F11EA18CB19F91684FC85","8B1EA9C2115F11EA18CB19F91684FC85","8B1EA9C2115F11EA18CB19F91684FC85","8B1EA9C2115F11EA18CB19F91684FC85"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
16,0.160000,0.101146,0.980543,-0.169273,0.189582,0.695633,-0.207627,0.168464,0.335431,-0.261355,0.089552,0.057462,-0.370817,0.135775,0.500730,-0.233270,0.130937,0.069049,-0.313402,0.077005,0.039296,-0.162341,-0.186848,0.976723,-0.150502,-0.275795,0.697993,-0.226567,-0.259215,0.324063,-0.264068,-0.168162,0.052203,-0.367425,-0.225876,0.519005,-0.248615,-0.211696,0.079981,-0.306771,-0.156654,0.037153,-0.152528,-0.056202,0.992816,-0.371723
17,0.170000,0.101146,0.980534,-0.169309,0.189563,0.695621,-0.207663,0.168452,0.335457,-0.261386,0.089537,0.057480,-0.370821,0.135751,0.500767,-0.233318,0.130928,0.069053,-0.313419,0.077006,0.039340,-0.162361,-0.186844,0.976722,-0.150519,-0.275794,0.698025,-0.226605,-0.259214,0.324061,-0.264091,-0.168177,0.052221,-0.367434,-0.225875,0.519053,-0.248658,-0.211696,0.079988,-0.306776,-0.156652,0.037261,-0.152522,-0.056184,0.992808,-0.371755
18,0.180000,0.101140,0.980500,-0.169331,0.189548,0.695606,-0.207697,0.168443,0.335475,-0.261416,0.089524,0.057499,-0.370828,0.135735,0.500788,-0.233362,0.130928,0.069048,-0.313433,0.077009,0.039349,-0.162369,-0.186843,0.976726,-0.150535,-0.275785,0.698053,-0.226641,-0.259210,0.324056,-0.264120,-0.168192,0.052247,-0.367442,-0.225867,0.519093,-0.248698,-0.211696,0.079994,-0.306779,-0.156633,0.037328,-0.152518,-0.056164,0.992801,-0.371790
19,0.190000,0.101132,0.980442,-0.169338,0.189540,0.695592,-0.207730,0.168440,0.335487,-0.261444,0.089518,0.057511,-0.370836,0.135730,0.500780,-0.233397,0.130933,0.069039,-0.313440,0.077012,0.039328,-0.162365,-0.186846,0.976734,-0.150551,-0.275770,0.698075,-0.226670,-0.259207,0.324052,-0.264152,-0.168201,0.052266,-0.367447,-0.225851,0.519114,-0.248733,-0.211695,0.079996,-0.306782,-0.156611,0.037339,-0.152517,-0.056149,0.992801,-0.371826
20,0.200000,0.101124,0.980358,-0.169329,0.189539,0.695585,-0.207764,0.168445,0.335496,-0.261470,0.089518,0.057519,-0.370846,0.135732,0.500752,-0.233427,0.130942,0.069030,-0.313441,0.077017,0.039279,-0.162349,-0.186853,0.976744,-0.150567,-0.275740,0.698078,-0.226689,-0.259210,0.324060,-0.264174,-0.168205,0.052278,-0.367451,-0.225827,0.519112,-0.248763,-0.211697,0.079994,-0.306784,-0.156586,0.037299,-0.152520,-0.056144,0.992806,-0.371855
21,0.210000,0.101118,0.980300,-0.169327,0.189543,0.695586,-0.207800,0.168456,0.335504,-0.261496,0.089524,0.057517,-0.370853,0.135741,0.500723,-0.233452,0.130957,0.069025,-0.313435,0.077025,0.039215,-0.162321,-0.186864,0.976756,-0.150583,-0.275696,0.698061,-0.226697,-0.259220,0.324079,-0.264186,-0.168202,0.052282,-0.367453,-0.225791,0.519085,-0.248789,-0.211700,0.079987,-0.306785,-0.156574,0.037212,-0.152534,-0.056147,0.992818,-0.371877
22,0.220000,0.101120,0.980316,-0.169356,0.189547,0.695592,-0.207838,0.168468,0.335512,-0.261520,0.089541,0.057487,-0.370850,0.135759,0.500705,-0.233468,0.130977,0.069022,-0.313423,0.077035,0.039165,-0.162295,-0.186874,0.976765,-0.150596,-0.275662,0.698053,-0.226699,-0.259231,0.324100,-0.264200,-0.168190,0.052264,-0.367448,-0.225750,0.519037,-0.248810,-0.211705,0.079976,-0.306788,-0.156586,0.037106,-0.152558,-0.056154,0.992834,-0.371895
23,0.230000,0.101126,0.980339,-0.169389,0.189548,0.695599,-0.207879,0.168477,0.335519,-0.261544,0.089566,0.057437,-0.370837,0.135778,0.500691,-0.233486,0.131004,0.069018,-0.313405,0.077038,0.039143,-0.162280,-0.186883,0.976772,-0.150606,-0.275650,0.698080,-0.226706,-0.259239,0.324119,-0.264222,-0.168174,0.052219,-0.367439,-0.225716,0.518987,-0.248830,-0.211712,0.079967,-0.306791,-0.156611,0.037043,-0.152582,-0.056162,0.992851,-0.371911
24,0.240000,0.101139,0.980362,-0.169430,0.189543,0.695599,-0.207923,0.168477,0.335527,-0.261570,0.089583,0.057397,-0.370827,0.135789,0.500684,-0.233514,0.131029,0.069013,-0.313388,0.077033,0.039151,-0.162280,-0.186889,0.976778,-0.150612,-0.275654,0.698124,-0.226720,-0.259245,0.324135,-0.264250,-0.168163,0.052176,-0.367434,-0.225691,0.518957,-0.248858,-0.211717,0.079962,-0.306796,-0.156647,0.037050,-0.152600,-0.056166,0.992863,-0.371927
25,0.250000,0.101168,0.980446,-0.169507,0.189529,0.695589,-0.207971,0.168467,0.335532,-0.261597,0.089582,0.057384,-0.370823,0.135787,0.500686,-0.233553,0.131027,0.069015,-0.313393,0.077023,0.039188,-0.162295,-0.186892,0.976786,-0.150614,-0.275648,0.698134,-0.226745,-0.259250,0.324147,-0.264284,-0.168160,0.052151,-0.367432,-0.225650,0.518950,-0.248900,-0.211720,0.079964,-0.306802,-0.156695,0.037110,-0.152607,-0.056162,0.992871,-0.371942
